Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
--,0.61,-1.08,-0.01,1175,--,230925.00,54375.00,154.60,89550.00,1.65,1.75,--,--,1.75,1.75,22650,24.70,NIFTY,1890.70,-111.33,1981.30,2002.03,1853.50,2143.55,75.00,--,--,--,1,0.99,-1.08,0.61,--
--,0.58,-1.00,-0.01,4979,--,963525.00,56100.00,17.60,374775.00,1.60,1.75,--,--,1.60,1.60,22700,23.90,NIFTY,1840.80,-111.23,1931.30,1952.03,1897.65,2008.60,75.00,--,--,--,1,0.99,-1.00,0.58,--
--,0.68,-1.17,-0.01,101,0,42600.00,8925.00,148.80,14925.00,1.70,2.05,--,--,1.95,1.95,22750,23.90,NIFTY,1793.10,-108.93,1881.30,1902.03,1761.40,2039.15,150.00,--,--,--,1,0.99,-1.17,0.68,--
--,0.69,-1.14,-0.01,6246,0,1400100.00,47475.00,11.20,472425.00,1.85,1.90,--,--,1.90,1.90,22800,23.20,NIFTY,1880.00,27.97,1831.30,1852.03,1798.30,1908.65,225.00,200.00,150.00,150.00,0,0.99,-1.14,0.69,--
--,0.73,-1.18,-0.01,581,0,117150.00,17625.00,67.10,43875.00,1.80,2.00,--,--,2.00,2.00,22850,22.80,NIFTY,1682.85,-119.18,1781.30,1802.03,1748.65,1858.75,75.00,--,--,--,1,0.99,-1.18,0.73,--
--,0.70,-1.10,-0.01,628,0,931950.00,90750.00,31.30,380700.00,1.85,2.50,--,--,1.85,1.85,22900,22.00,NIFTY,1755.65,3.62,1731.30,1752.03,1698.80,1808.65,1350.00,500.00,1125.00,1125.00,1,0.99,-1.10,0.70,--
--,0.76,-1.17,-0.01,634,0,146550.00,11475.00,29.90,49875.00,2.00,2.70,--,--,2.00,2.00,22950,21.60,NIFTY,1595.20,-106.83,1681.30,1702.03,1571.90,1832.25,75.00,--,--,--,1,0.99,-1.17,0.76,--
--,0.83,-1.26,-0.01,85,0,4619325.00,951150.00,85.20,2068125.00,2.20,2.25,--,--,2.20,2.20,23000,21.30,NIFTY,1644.25,-7.78,1631.30,1652.03,1646.20,1655.70,23925.00,866.70,21450.00,24375.00,1,0.99,-1.26,0.83,--
--,0.84,-1.25,-0.01,164,0,104625.00,3300.00,9.90,36600.00,2.20,2.50,--,--,2.20,2.20,23050,20.70,NIFTY,1495.70,-106.33,1581.30,1602.03,1475.85,1729.25,225.00,--,--,--,1,0.99,-1.25,0.84,--
--,0.85,-1.22,-0.01,292,0,1153575.00,107175.00,59.10,288525.00,2.20,2.55,--,--,2.15,2.15,23100,20.10,NIFTY,1560.00,7.97,1531.30,1552.03,1500.15,1563.30,1050.00,27.30,225.00,225.00,0,0.99,-1.22,0.85,--
--,0.97,-1.37,-0.01,128,0,139350.00,44175.00,186.40,67875.00,2.35,2.50,--,--,2.50,2.50,23150,19.90,NIFTY,1505.00,2.97,1481.30,1502.03,1450.50,1558.90,1050.00,100.00,525.00,525.00,1,0.99,-1.37,0.97,--
--,1.03,-1.43,-0.01,1652,0,2824500.00,230775.00,26.10,1114050.00,2.50,2.65,--,--,2.65,2.65,23200,19.40,NIFTY,1480.00,27.97,1431.30,1452.03,1400.85,1508.85,675.00,--,--,150.00,0,0.99,-1.43,1.03,--
